ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
270,2009-2010,Kevin Martin,SG,26,23-26,TOT,46,43,35.5,6.3,15.1,0.417,1.5,4.6,0.333,4.8,10.5,0.453,0.468,6.5,7.4,0.876,0.6,2.9,3.6,2.4,1.0,0.1,2.0,2.1,20.6,1.2,13.9
270,2009-2010,Kevin Martin,SG,26,23-26,SAC,22,21,35.2,6.1,15.4,0.398,1.8,5.0,0.355,4.4,10.4,0.419,0.456,5.8,7.0,0.819,0.9,3.4,4.3,2.6,1.0,0.2,1.6,2.3,19.8,1.62,13.5
270,2009-2010,Kevin Martin,SG,26,23-26,HOU,24,22,35.8,6.4,14.8,0.435,1.3,4.2,0.31,5.1,10.6,0.484,0.479,7.1,7.7,0.924,0.4,2.5,2.9,2.3,1.0,0.1,2.4,1.9,21.3,0.96,14.3
271,2009-2010,Desmond Mason,SF,32,31-34,SAC,5,4,13.2,1.0,2.4,0.417,0.0,0.0,0.0,1.0,2.4,0.417,0.417,0.6,0.8,0.75,0.8,1.8,2.6,0.4,0.2,0.2,0.8,1.0,2.6,0.5,2.6
272,2009-2010,Roger Mason,SG,29,27-30,SAS,79,5,19.2,2.4,6.3,0.389,1.1,3.3,0.333,1.3,2.9,0.453,0.478,0.3,0.4,0.794,0.1,1.9,2.1,1.7,0.4,0.2,0.7,1.3,6.3,2.43,4.7
273,2009-2010,Wesley Matthews,SG,23,23-26,UTA,82,48,24.7,3.3,6.9,0.483,0.8,2.0,0.382,2.6,4.9,0.525,0.539,2.0,2.4,0.829,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4,1.36,7.2
274,2009-2010,Jason Maxiell,C,26,23-26,DET,76,29,20.4,2.8,5.5,0.511,0.0,0.0,0.0,2.8,5.4,0.512,0.511,1.2,2.0,0.574,2.1,3.2,5.3,0.5,0.5,0.5,0.9,2.3,6.8,0.56,6.9
275,2009-2010,Sean May,C,25,23-26,SAC,37,4,8.9,1.4,3.0,0.459,0.0,0.1,0.0,1.4,2.9,0.477,0.459,0.6,0.9,0.656,0.5,1.4,1.9,0.5,0.3,0.2,0.5,1.2,3.3,1.0,2.6
276,2009-2010,Eric Maynor,PG,22,18-22,TOT,81,2,15.7,1.9,4.5,0.418,0.3,0.9,0.31,1.6,3.7,0.444,0.448,0.6,0.9,0.722,0.3,1.3,1.6,3.3,0.5,0.1,1.0,1.4,4.7,3.3,4.9
276,2009-2010,Eric Maynor,PG,22,18-22,UTA,26,2,14.0,2.0,5.1,0.391,0.2,0.9,0.208,1.8,4.2,0.431,0.41,1.0,1.3,0.758,0.4,1.1,1.5,3.1,0.5,0.1,1.1,1.3,5.2,2.82,4.6
276,2009-2010,Eric Maynor,PG,22,18-22,OKC,55,0,16.5,1.9,4.3,0.434,0.3,0.9,0.362,1.5,3.4,0.452,0.47,0.5,0.7,0.692,0.2,1.5,1.7,3.4,0.5,0.1,1.0,1.5,4.5,3.4,5.1
277,2009-2010,O.J. Mayo,SG,22,18-22,MEM,82,82,38.0,6.6,14.4,0.458,1.7,4.3,0.383,5.0,10.1,0.49,0.516,2.6,3.2,0.809,0.7,3.0,3.8,3.0,1.2,0.2,2.1,2.1,17.5,1.43,13.1
278,2009-2010,Luc Mbah a Moute,PF,23,23-26,MIL,73,62,25.6,2.4,5.1,0.48,0.1,0.2,0.353,2.3,4.8,0.486,0.488,1.3,1.8,0.699,2.3,3.1,5.5,1.1,0.8,0.5,1.0,2.5,6.2,1.1,7.4
279,2009-2010,Antonio McDyess,PF,35,35-38,SAS,77,50,21.0,2.7,5.6,0.479,0.0,0.0,0.0,2.7,5.5,0.481,0.479,0.5,0.7,0.632,1.9,4.0,5.9,1.1,0.6,0.4,1.0,1.9,5.8,1.1,7.8
280,2009-2010,JaVale McGee,C,22,18-22,WAS,60,19,16.1,2.6,5.1,0.508,0.0,0.0,0.0,2.6,5.1,0.51,0.508,1.2,1.9,0.638,1.5,2.6,4.1,0.2,0.3,1.7,0.9,2.0,6.4,0.22,6.6
281,2009-2010,Tracy McGrady,SG,30,27-30,TOT,30,24,22.4,3.0,7.8,0.387,0.5,2.1,0.25,2.5,5.7,0.439,0.421,1.6,2.1,0.746,0.7,2.4,3.1,3.3,0.5,0.5,1.5,1.3,8.2,2.2,7.5
281,2009-2010,Tracy McGrady,SG,30,27-30,HOU,6,0,7.7,1.2,3.2,0.368,0.2,0.3,0.5,1.0,2.8,0.353,0.395,0.7,1.0,0.667,0.0,0.8,0.8,1.0,0.0,0.3,0.2,0.3,3.2,5.0,2.5
281,2009-2010,Tracy McGrady,SG,30,27-30,NYK,24,24,26.1,3.5,9.0,0.389,0.6,2.6,0.242,2.9,6.4,0.448,0.424,1.8,2.4,0.754,0.9,2.8,3.7,3.9,0.6,0.5,1.8,1.6,9.4,2.17,8.6
282,2009-2010,Dominic McGuire,SF,24,23-26,TOT,51,2,6.0,0.4,1.0,0.365,0.0,0.0,0.0,0.4,1.0,0.365,0.365,0.0,0.1,0.0,0.5,1.1,1.5,0.2,0.1,0.1,0.3,0.7,0.7,0.67,0.9
